MNIST-USPS seed:0 {'acc': 0.994, 'nmi': 0.9830838134832482, 'pur': 0.994}
Fashion 0.1 0.01 {'acc': 0.1, 'nmi': 0.0, 'pur': 0.1}
Fashion 0.1 0.01 {'acc': 0.9859, 'nmi': 0.9700951756737929, 'pur': 0.9859}
MNIST-USPS 1.0 10.0 {'acc': 0.992, 'nmi': 0.98035804001918, 'pur': 0.992}
MNIST-USPS 1.0 10.0 {'acc': 0.9968, 'nmi': 0.9908189483766673, 'pur': 0.9968}
BDGP 1.0 1.0 {'acc': 0.9936, 'nmi': 0.9799360503452945, 'pur': 0.9936}
Fashion 1.0 0.001 {'acc': 0.9927, 'nmi': 0.9814716341243631, 'pur': 0.9927}
Fashion 0.1 0.1 {'acc': 0.9883, 'nmi': 0.9734474677688302, 'pur': 0.9883}
Caltech-3V 0.1 0.1 {'acc': 0.7464285714285714, 'nmi': 0.6538771169445668, 'pur': 0.7478571428571429}
Caltech-2V 0.1 0.01 {'acc': 0.5028571428571429, 'nmi': 0.48807349459860827, 'pur': 0.5621428571428572}
Caltech-2V 0.1 0.01 {'acc': 0.5028571428571429, 'nmi': 0.48807349459860827, 'pur': 0.5621428571428572}
Caltech-4V 0.1 0.1 {'acc': 0.8392857142857143, 'nmi': 0.7579481624026398, 'pur': 0.8392857142857143}
Caltech-5V 0.1 0.1 {'acc': 0.8978571428571429, 'nmi': 0.8308507744607068, 'pur': 0.8978571428571429}
Caltech-2V 0.1 0.1 {'acc': 0.67, 'nmi': 0.5441733894079993, 'pur': 0.67}
CCV 0.001 0.001 {'acc': 0.15236970323342683, 'nmi': 0.09289682308543482, 'pur': 0.1759929130370589}
CCV 0.001 0.1 {'acc': 0.18367045622323933, 'nmi': 0.11599477791266775, 'pur': 0.21275653329396133}
CCV 0.001 1.0 {'acc': 0.15665141001033517, 'nmi': 0.0993894760686306, 'pur': 0.1777646537723313}
CCV 0.001 10.0 {'acc': 0.15340321866233575, 'nmi': 0.08909998503463613, 'pur': 0.1777646537723313}
CCV 0.001 100.0 {'acc': 0.12298833604015946, 'nmi': 0.08309760480329366, 'pur': 0.14912151188542744}
CCV 0.1 0.001 {'acc': 0.3251144249224863, 'nmi': 0.332307300204841, 'pur': 0.36542152664993355}
CCV 0.1 0.1 {'acc': 0.29469954230031004, 'nmi': 0.3058541188257691, 'pur': 0.33604015945666615}
CCV 0.1 1.0 {'acc': 0.3135981101432157, 'nmi': 0.3070159280397371, 'pur': 0.35877749889266203}
CCV 0.1 10.0 {'acc': 0.26369407943304296, 'nmi': 0.23863008406336947, 'pur': 0.30178650524139966}
CCV 0.1 100.0 {'acc': 0.17879816920124023, 'nmi': 0.13764162810256353, 'pur': 0.21187066292632512}
CCV 1.0 0.001 {'acc': 0.3093164033663074, 'nmi': 0.31768908796229983, 'pur': 0.3497711501550273}
CCV 1.0 0.1 {'acc': 0.3063635021408534, 'nmi': 0.3077513820299924, 'pur': 0.3342684187213938}
